Name,SIN,Date of Birth,Address
Samuel Fields,404 244 919,10/20/1971,"9485 King Estates Apt. 761, Claytonmouth, NL M8J 8H3"
Brenda Davis,734 545 804,03/03/1967,"4641 Lisa Harbors, South Hannahbury, BC L2N8Y1"
Kathy Gray,121 729 251,09/23/1984,"050 Linda Springs Suite 550, North Christinemouth, AB T3R 7A8"
Stacy Zimmerman,047 788 489,12/03/1966,"391 Nancy Tunnel Apt. 880, North Samanthaport, ON C6S7S3"
Robert Solomon,540 918 255,02/24/2004,"3892 Jackson Vista Suite 044, Jodiside, MB X5M4R2"
Lisa Galvan,957 294 697,09/19/1960,"225 Bender Centers, Josephfort, NU E9E7T9"
John Johnson,652 241 364,09/22/2002,"85565 Edwards Villages, Jeremiahfurt, ON P6X4S5"
Patrick Taylor,860 644 221,04/29/1956,"6848 Sara Mount Suite 673, Sarashire, NL X8K 3A9"
Sherri Bryant,145 142 150,10/04/1977,"4389 Osborne Wall Suite 369, South Jerry, NS A7N4E7"
Richard Peterson,671 484 381,10/04/1978,"46923 Clark Crescent, Annettefurt, PE K7X 6L7"
